00-01-01 00:00:02 --- one package
00-01-01 00:00:04 --- -5289     4  7221
00-01-01 00:00:04 --- -5287    13  7187
00-01-01 00:00:04 --- -5284    20  7169
00-01-01 00:00:04 --- -5281    29  7150
00-01-01 00:00:04 --- -5276    33  7135
00-01-01 00:00:04 --- -5277    36  7122
00-01-01 00:00:04 --- -5281    36  7110
00-01-01 00:00:04 --- -5292    26  7108
00-01-01 00:00:04 --- -5304    24  7103
00-01-01 00:00:04 --- -5329    21  7102
00-01-01 00:00:04 --- -5348    19  7089
00-01-01 00:00:04 --- -5379    15  7072
00-01-01 00:00:04 --- -5401     6  7040
00-01-01 00:00:04 --- -5428    -8  7015
00-01-01 00:00:04 --- -5446   -25  6977
00-01-01 00:00:04 --- -5470   -39  6946
00-01-01 00:00:04 --- -5495   -55  6658
00-01-01 00:00:05 --- -5508   -60  6871
00-01-01 00:00:05 --- -5532   -58  6865
00-01-01 00:00:05 --- -5544   -53  6855
00-01-01 00:00:05 --- -5568   -42  6845
00-01-01 00:00:05 --- -5599   -40  6834
00-01-01 00:00:05 --- -5621   -39  6820
00-01-01 00:00:05 --- -5647   -42  6807
00-01-01 00:00:05 --- -5664   -38  6794
00-01-01 00:00:05 --- -5677   -28  6780
00-01-01 00:00:05 --- -5689   -13  6762
00-01-01 00:00:05 --- -5712     3  6746
00-01-01 00:00:05 --- -5751    23  6723
00-01-01 00:00:05 --- -5768    36  6707
00-01-01 00:00:05 --- -5784    48  6676
00-01-01 00:00:05 --- -5793    55  6651
00-01-01 00:00:05 --- -5807    56  6616
00-01-01 00:00:05 --- -5816    55  6587
00-01-01 00:00:05 --- -5833    45  6549
00-01-01 00:00:05 --- -5849    31  6518
00-01-01 00:00:05 --- -5868    14  6482
00-01-01 00:00:05 --- -5891    -3  6443
00-01-01 00:00:05 --- -5919   -13  6407
00-01-01 00:00:05 --- -5950   -21  6369
00-01-01 00:00:05 --- -5988   -27  6338
00-01-01 00:00:05 --- -6023   -41  6303
00-01-01 00:00:05 --- -6053   -54  6282
00-01-01 00:00:05 --- -6091   -65  6253
00-01-01 00:00:05 --- -6121   -77  6244
00-01-01 00:00:05 --- -6161   -78  6232
00-01-01 00:00:05 --- -6206   -84  6231
00-01-01 00:00:05 --- -6238   -81  6234
00-01-01 00:00:05 --- -6276   -77  6242
00-01-01 00:00:05 --- -6300   -66  6250
00-01-01 00:00:05 --- -6326   -52  6257
00-01-01 00:00:05 --- -6344   -45  6258
00-01-01 00:00:05 --- -6353   -41  6242
00-01-01 00:00:05 --- -6349   -51  6224
00-01-01 00:00:05 --- -6338   -64  6194
00-01-01 00:00:05 --- -6323   -85  6165
00-01-01 00:00:05 --- -6305  -107  6147
00-01-01 00:00:05 --- -6289  -126  6134
00-01-01 00:00:05 --- -6269  -144  6141
00-01-01 00:00:05 --- -6247  -148  6154
00-01-01 00:00:05 --- -6222  -149  6169
00-01-01 00:00:05 --- -6197  -141  6194
00-01-01 00:00:05 --- -6171  -133  6223
00-01-01 00:00:05 --- -6140  -125  6256
00-01-01 00:00:05 --- -6116  -115  6295
00-01-01 00:00:05 --- -6081  -107  6319
00-01-01 00:00:05 --- -6051   -98  6334
00-01-01 00:00:05 --- -6020   -92  6336
00-01-01 00:00:05 --- -5979   -87  6340
00-01-01 00:00:05 --- -5946   -83  6349
00-01-01 00:00:05 --- -5910   -82  6364
00-01-01 00:00:05 --- -5876   -80  6391
00-01-01 00:00:05 --- -5843   -86  6419
00-01-01 00:00:05 --- -5800   -90  6453
00-01-01 00:00:05 --- -5771   -94  6480
00-01-01 00:00:05 --- -5735   -99  6510
00-01-01 00:00:05 --- -5719   -98  6529
00-01-01 00:00:05 --- -5706   -96  6539
00-01-01 00:00:05 --- -5693   -92  6561
00-01-01 00:00:05 --- -5679   -83  6568
00-01-01 00:00:05 --- -5664   -76  6595
00-01-01 00:00:05 --- -5647   -61  6619
00-01-01 00:00:05 --- -5635   -53  6652
00-01-01 00:00:05 --- -5633   -42  6678
00-01-01 00:00:05 --- -5640   -35  6698
00-01-01 00:00:05 --- -5658   -29  6710
00-01-01 00:00:05 --- -5675   -25  6702
00-01-01 00:00:05 --- -5701   -19  6687
00-01-01 00:00:05 --- -5720   -15  6664
00-01-01 00:00:05 --- -5749   -10  6621
00-01-01 00:00:05 --- -5779    -6  6577
00-01-01 00:00:05 --- -5823    -4  6515
00-01-01 00:00:05 --- -5871   -12  6450
00-01-01 00:00:05 --- -5939   -28  6388
00-01-01 00:00:05 --- -6001   -52  6329
00-01-01 00:00:05 --- -6061   -76  6277
00-01-01 00:00:05 --- -6113   -94  6220
00-01-01 00:00:05 --- -6155  -102  6173
00-01-01 00:00:05 --- -6192  -105  6135
00-01-01 00:00:05 --- -6227  -100  6099
00-01-01 00:00:05 --- -6250   -94  6075
00-01-01 00:00:05 --- -6278   -82  6037
00-01-01 00:00:05 --- -6302   -62  5999
00-01-01 00:00:05 --- -6335   -42  5957
00-01-01 00:00:05 --- -6375   -17  5920
00-01-01 00:00:05 --- -6419     4  5880
00-01-01 00:00:05 --- -6462    23  5839
00-01-01 00:00:05 --- -6509    38  5796
00-01-01 00:00:05 --- -6551    47  5756
00-01-01 00:00:05 --- -6592    55  5721
00-01-01 00:00:05 --- -6624    62  5690
00-01-01 00:00:05 --- -6658    70  5660
00-01-01 00:00:05 --- -6688    74  5618
00-01-01 00:00:05 --- -6724    82  5585
00-01-01 00:00:05 --- -6767    84  5548
00-01-01 00:00:05 --- -6806    88  5516
00-01-01 00:00:05 --- -6842    93  5461
00-01-01 00:00:05 --- -6864    98  5432
00-01-01 00:00:05 --- -6876   106  5399
00-01-01 00:00:05 --- -6886   115  5375
00-01-01 00:00:05 --- -6888   125  5348
00-01-01 00:00:05 --- -6895   129  5328
00-01-01 00:00:05 --- -6902   121  5310
00-01-01 00:00:05 --- -6907   113  5291
00-01-01 00:00:05 --- -6911    95  5271
00-01-01 00:00:05 --- -6907    77  5254
00-01-01 00:00:05 --- -6904    56  5238
00-01-01 00:00:05 --- -6888    34  5236
00-01-01 00:00:05 --- -6849    21  5227
00-01-01 00:00:05 --- -6821    13  5229
00-01-01 00:00:05 --- -6791    12  5219
00-01-01 00:00:05 --- -6744    11  5209
00-01-01 00:00:05 --- -6709    13  5200
00-01-01 00:00:05 --- -6666    13  5185
00-01-01 00:00:05 --- -6633     8  5171
00-01-01 00:00:05 --- -6611    13  5161
00-01-01 00:00:05 --- -6587    11  5165
00-01-01 00:00:05 --- -6572    19  5178
00-01-01 00:00:05 --- -6562    19  5208
00-01-01 00:00:05 --- -6560    16  5247
00-01-01 00:00:05 --- -6555     6  5294
00-01-01 00:00:05 --- -6555   -21  5343
00-01-01 00:00:05 --- -6548   -51  5403
00-01-01 00:00:05 --- -6528   -91  5450
00-01-01 00:00:05 --- -6505  -130  5511
00-01-01 00:00:05 --- -6468  -160  5557
00-01-01 00:00:05 --- -6420  -186  5608
00-01-01 00:00:05 --- -6372  -199  5649
00-01-01 00:00:05 --- -6323  -205  5675
00-01-01 00:00:05 --- -6279  -209  5704
00-01-01 00:00:05 --- -6241  -210  5714
00-01-01 00:00:05 --- -6203  -216  5728
00-01-01 00:00:05 --- -6172  -225  5736
00-01-01 00:00:05 --- -6144  -242  5745
00-01-01 00:00:05 --- -6117  -254  5752
00-01-01 00:00:05 --- -6095  -271  5764
00-01-01 00:00:05 --- -6073  -270  5769
00-01-01 00:00:05 --- -6060  -272  5775
00-01-01 00:00:05 --- -6050  -259  5782
00-01-01 00:00:05 --- -6050  -246  5779
00-01-01 00:00:05 --- -6049  -229  5790
00-01-01 00:00:05 --- -6054  -209  5790
00-01-01 00:00:05 --- -6067  -190  5796
00-01-01 00:00:05 --- -6091  -167  5788
00-01-01 00:00:05 --- -6117  -150  5789
00-01-01 00:00:05 --- -6155  -132  5773
00-01-01 00:00:06 --- -6193  -120  5762
00-01-01 00:00:06 --- -6224  -108  5754
00-01-01 00:00:06 --- -6254   -98  5730
00-01-01 00:00:06 --- -6267   -87  5717
00-01-01 00:00:06 --- -6282   -77  5691
00-01-01 00:00:06 --- -6288   -69  5657
00-01-01 00:00:06 --- -6306   -60  5621
00-01-01 00:00:06 --- -6320   -56  5576
00-01-01 00:00:06 --- -6343   -54  5537
00-01-01 00:00:06 --- -6365   -62  5503
00-01-01 00:00:06 --- -6386   -73  5482
00-01-01 00:00:06 --- -6410   -92  5449
00-01-01 00:00:06 --- -6430  -107  5414
00-01-01 00:00:06 --- -6448  -124  5364
00-01-01 00:00:06 --- -6479  -131  5309
00-01-01 00:00:06 --- -6506  -134  5262
00-01-01 00:00:06 --- -6552  -125  5217
00-01-01 00:00:06 --- -6595  -110  5186
00-01-01 00:00:06 --- -6645   -96  5162
00-01-01 00:00:06 --- -6695   -79  5153
00-01-01 00:00:06 --- -6743   -75  5151
00-01-01 00:00:06 --- -6790   -68  5155
00-01-01 00:00:06 --- -6832   -61  5152
00-01-01 00:00:06 --- -6879   -49  5144
00-01-01 00:00:06 --- -6915   -31  5121
00-01-01 00:00:06 --- -6951   -11  5083
00-01-01 00:00:06 --- -6979     5  5029
00-01-01 00:00:06 --- -7009    15  4969
00-01-01 00:00:06 --- -7029    23  4899
00-01-01 00:00:06 --- -7051    23  4839
00-01-01 00:00:06 --- -7062    31  4774
00-01-01 00:00:06 --- -7063    32  4712
00-01-01 00:00:06 --- -7065    40  4658
00-01-01 00:00:06 --- -7072    47  4598
00-01-01 00:00:06 --- -7078    51  4565
00-01-01 00:00:06 --- -7089    62  4547
00-01-01 00:00:06 --- -7102    66  4548
00-01-01 00:00:06 --- -7108    78  4557
00-01-01 00:00:06 --- -7126    82  4563
00-01-01 00:00:06 --- -7142    87  4551
00-01-01 00:00:06 --- -7153    84  4540
00-01-01 00:00:06 --- -7165    76  4518
00-01-01 00:00:06 --- -7169    61  4515
00-01-01 00:00:06 --- -7167    48  4517
00-01-01 00:00:06 --- -7170    32  4536
00-01-01 00:00:06 --- -7157    21  4565
00-01-01 00:00:06 --- -7150     8  4605
00-01-01 00:00:06 --- -7130    -4  4660
00-01-01 00:00:06 --- -7107   -19  4709
00-01-01 00:00:06 --- -7084   -36  4762
00-01-01 00:00:06 --- -7055   -56  4833
00-01-01 00:00:06 --- -7031   -74  4864
00-01-01 00:00:06 --- -7003   -95  4894
00-01-01 00:00:06 --- -6977  -109  4923
00-01-01 00:00:06 --- -6948  -125  4959
00-01-01 00:00:07 --- one package
00-01-01 00:00:07 ---  1215   -11  8500
00-01-01 00:00:07 ---  1237   -14  8472
00-01-01 00:00:07 ---  1265   -12  8447
00-01-01 00:00:07 ---  1292    -6  8419
00-01-01 00:00:07 ---  1323     0  8386
00-01-01 00:00:07 ---  1353     9  8353
00-01-01 00:00:07 ---  1378     5  8303
00-01-01 00:00:07 ---  1409     2  8257
00-01-01 00:00:07 ---  1440   -16  8201
00-01-01 00:00:07 ---  1478   -33  8137
00-01-01 00:00:07 ---  1533   -40  8077
00-01-01 00:00:07 ---  1587   -50  8006
00-01-01 00:00:07 ---  1661   -53  7931
00-01-01 00:00:07 ---  1739   -57  7856
00-01-01 00:00:07 ---  1821   -65  7785
00-01-01 00:00:07 ---  1901   -73  7726
00-01-01 00:00:07 ---  1984   -76  7686
00-01-01 00:00:07 ---  2062   -73  7665
00-01-01 00:00:07 ---  2137   -63  7667
00-01-01 00:00:07 ---  2207   -45  7685
00-01-01 00:00:07 ---  2262   -14  7719
00-01-01 00:00:07 ---  2317    22  7755
00-01-01 00:00:07 ---  2363    65  7810
00-01-01 00:00:07 ---  2411   102  7863
00-01-01 00:00:07 ---  2458   144  7931
00-01-01 00:00:07 ---  2510   164  7996
00-01-01 00:00:07 ---  2570   181  8064
00-01-01 00:00:07 ---  2639   177  8132
00-01-01 00:00:07 ---  2700   158  8197
00-01-01 00:00:07 ---  2763   127  8257
00-01-01 00:00:07 ---  2814    88  8313
00-01-01 00:00:07 ---  2856    40  8354
00-01-01 00:00:07 ---  2903   -13  8382
00-01-01 00:00:07 ---  2939   -61  8398
00-01-01 00:00:07 ---  2982  -109  8386
00-01-01 00:00:07 ---  3029  -149  8365
00-01-01 00:00:07 ---  3079  -184  8334
00-01-01 00:00:07 ---  3123  -219  8310
00-01-01 00:00:07 ---  3171  -251  8285
00-01-01 00:00:07 ---  3200  -289  8274
00-01-01 00:00:07 ---  3230  -317  8257
00-01-01 00:00:07 ---  3248  -348  8242
00-01-01 00:00:07 ---  3260  -368  8222
00-01-01 00:00:07 ---  3264  -374  8198
00-01-01 00:00:07 ---  3270  -365  8166
00-01-01 00:00:07 ---  3274  -343  8128
00-01-01 00:00:07 ---  3285  -318  8082
00-01-01 00:00:07 ---  3300  -284  8036
00-01-01 00:00:07 ---  3322  -260  7979
00-01-01 00:00:07 ---  3349  -225  7917
00-01-01 00:00:07 ---  3380  -194  7851
00-01-01 00:00:07 ---  3416  -157  7780
00-01-01 00:00:07 ---  3461  -121  7727
00-01-01 00:00:07 ---  3511   -83  7672
00-01-01 00:00:07 ---  3572   -46  7622
00-01-01 00:00:07 ---  3616   -17  7573
00-01-01 00:00:07 ---  3662     8  7528
00-01-01 00:00:07 ---  3692    19  7496
00-01-01 00:00:07 ---  3721    29  7480
00-01-01 00:00:07 ---  3742    30  7474
00-01-01 00:00:07 ---  3756    30  7470
00-01-01 00:00:07 ---  3763    27  7469
00-01-01 00:00:07 ---  3763    28  7455
00-01-01 00:00:07 ---  3763    29  7447
00-01-01 00:00:07 ---  3760    32  7419
00-01-01 00:00:07 ---  3759    31  7392
00-01-01 00:00:07 ---  3758    26  7348
00-01-01 00:00:07 ---  3757    21  7308
00-01-01 00:00:07 ---  3764    20  7264
00-01-01 00:00:07 ---  3777    30  7218
00-01-01 00:00:07 ---  3791    53  7154
00-01-01 00:00:07 ---  3816    84  7080
00-01-01 00:00:07 ---  3838   131  6995
00-01-01 00:00:07 ---  3851   174  6904
00-01-01 00:00:07 ---  3869   226  6829
00-01-01 00:00:07 ---  3872   276  6753
00-01-01 00:00:07 ---  3876   329  6689
00-01-01 00:00:07 ---  3880   387  6631
00-01-01 00:00:07 ---  3875   450  6579
00-01-01 00:00:07 ---  3885   513  6534
00-01-01 00:00:07 ---  3894   575  6489
00-01-01 00:00:07 ---  3916   621  6455
00-01-01 00:00:07 ---  3935   656  6424
00-01-01 00:00:07 ---  3955   676  6409
