00-01-01 00:00:02 --- one package
00-01-01 00:00:05 ---  -257  -345  7865
00-01-01 00:00:05 ---   121   105  7530
00-01-01 00:00:05 ---   392   144  7250
00-01-01 00:00:05 ---   525  -201  7087
00-01-01 00:00:05 ---   452  -750  7106
00-01-01 00:00:05 ---   204 -1158  7327
00-01-01 00:00:05 ---  -178 -1182  7663
00-01-01 00:00:05 ---  -679  -808  8070
00-01-01 00:00:05 --- -1050  -163  8504
00-01-01 00:00:05 --- -1279   345  8922
00-01-01 00:00:05 --- -1397   578  9318
00-01-01 00:00:05 --- -1300   461  9572
00-01-01 00:00:05 --- -1217    68  9581
00-01-01 00:00:05 --- -1150  -271  9314
00-01-01 00:00:05 --- -1039  -395  8849
00-01-01 00:00:05 ---  -877  -328  8305
00-01-01 00:00:05 ---  -521  -160  7824
00-01-01 00:00:05 ---   -25  -140  7414
00-01-01 00:00:05 ---   353  -349  7129
00-01-01 00:00:05 ---   517  -684  6987
00-01-01 00:00:05 ---   364  -992  7053
00-01-01 00:00:05 ---    29 -1068  7317
00-01-01 00:00:05 ---  -285  -811  7742
00-01-01 00:00:05 ---  -552  -338  8260
00-01-01 00:00:05 ---  -794   204  8737
00-01-01 00:00:05 ---  -993   494  9083
00-01-01 00:00:05 --- -1164   413  9270
00-01-01 00:00:05 --- -1253    17  9281
00-01-01 00:00:05 --- -1233  -506  9269
00-01-01 00:00:05 --- -1183  -798  9211
00-01-01 00:00:05 --- -1090  -717  9068
00-01-01 00:00:05 ---  -887  -354  8736
00-01-01 00:00:05 ---  -567    93  8180
00-01-01 00:00:05 ---  -169   286  7556
00-01-01 00:00:05 ---   187    73  7131
00-01-01 00:00:05 ---   344  -478  7023
00-01-01 00:00:05 ---   261 -1108  7230
00-01-01 00:00:05 ---    19 -1493  7543
00-01-01 00:00:05 ---  -340 -1338  7792
00-01-01 00:00:05 ---  -705  -722  7994
00-01-01 00:00:05 ---  -972   117  8246
00-01-01 00:00:05 --- -1127   790  8647
00-01-01 00:00:05 --- -1124   941  9149
00-01-01 00:00:05 --- -1074   552  9510
00-01-01 00:00:05 --- -1075  -156  9575
00-01-01 00:00:05 --- -1062  -851  9294
00-01-01 00:00:05 --- -1013 -1177  8844
00-01-01 00:00:05 ---  -808 -1015  8379
00-01-01 00:00:05 ---  -486  -518  7994
00-01-01 00:00:05 ---  -109    43  7448
00-01-01 00:00:05 ---   243   278  7202
00-01-01 00:00:05 ---   508    55  7301
00-01-01 00:00:05 ---   606  -485  7379
00-01-01 00:00:05 ---   436 -1051  7638
00-01-01 00:00:05 ---    65 -1282  7941
00-01-01 00:00:05 ---  -484  -321  8317
00-01-01 00:00:05 ---  -966    23  8674
00-01-01 00:00:05 --- -1236   378  9072
00-01-01 00:00:05 --- -1366   507  9413
00-01-01 00:00:05 --- -1278   134  9553
00-01-01 00:00:05 --- -1140  -331  9412
00-01-01 00:00:05 ---  -809  -600  9012
00-01-01 00:00:05 ---  -978  -624  8459
00-01-01 00:00:05 ---  -671  -422  7955
00-01-01 00:00:05 ---  -246  -235  7545
00-01-01 00:00:05 ---   177  -239  7267
00-01-01 00:00:05 ---   472  -455  7125
00-01-01 00:00:05 ---   482  -748  7160
00-01-01 00:00:05 ---   205  -955  7407
00-01-01 00:00:05 ---  -157  -870  7790
00-01-01 00:00:05 ---  -515  -512  8247
00-01-01 00:00:05 ---  -831    25  8667
00-01-01 00:00:05 --- -1071   465  8897
00-01-01 00:00:05 --- -1228   576  9048
00-01-01 00:00:05 --- -1307   316  9084
00-01-01 00:00:05 --- -1254  -203  9131
00-01-01 00:00:05 --- -1170  -657  9188
00-01-01 00:00:05 --- -1074  -776  9125
00-01-01 00:00:05 ---  -937  -546  8864
00-01-01 00:00:05 ---  -720   -97  8329
00-01-01 00:00:05 ---  -395   253  7690
00-01-01 00:00:05 ---   -39   250  7204
00-01-01 00:00:05 ---   222  -159  7041
00-01-01 00:00:05 ---   280  -799  7230
00-01-01 00:00:05 ---   149 -1364  7596
00-01-01 00:00:05 ---  -138 -1482  7908
00-01-01 00:00:05 ---  -479 -1078  8121
00-01-01 00:00:05 ---  -777  -292  8287
00-01-01 00:00:05 ---  -975   524  8528
00-01-01 00:00:05 --- -1039   950  8894
00-01-01 00:00:05 --- -1034   790  9243
00-01-01 00:00:05 --- -1041   164  9402
00-01-01 00:00:05 --- -1042  -649  9294
00-01-01 00:00:05 ---  -996 -1233  8952
00-01-01 00:00:05 ---  -835 -1320  8547
00-01-01 00:00:05 ---  -564  -931  8134
00-01-01 00:00:05 ---  -250  -287  7794
00-01-01 00:00:05 ---    83   200  7482
00-01-01 00:00:05 ---   359   233  7279
00-01-01 00:00:06 ---   563  -166  7206
00-01-01 00:00:06 ---   514  -777  7320
00-01-01 00:00:06 ---   240 -1190  7623
00-01-01 00:00:06 ---  -243 -1207  7954
00-01-01 00:00:06 ---  -778  -733  8299
00-01-01 00:00:06 --- -1136   -45  8619
00-01-01 00:00:06 --- -1384   515  8936
00-01-01 00:00:06 --- -1439   747  9257
00-01-01 00:00:06 --- -1368   511  9447
00-01-01 00:00:06 --- -1304   -11  9423
00-01-01 00:00:06 --- -1177  -486  9130
00-01-01 00:00:06 --- -1038  -723  8653
00-01-01 00:00:06 ---  -850  -653  8159
00-01-01 00:00:06 ---  -453  -423  7708
00-01-01 00:00:06 ---   -20  -258  7335
00-01-01 00:00:06 ---   342  -303  7068
00-01-01 00:00:06 ---   520  -513  6984
00-01-01 00:00:06 ---   389  -793  7164
00-01-01 00:00:06 ---   107  -896  7570
00-01-01 00:00:06 ---  -207  -741  8115
00-01-01 00:00:06 ---  -531  -321  8661
00-01-01 00:00:06 ---  -816   184  8989
00-01-01 00:00:06 --- -1048   505  9163
00-01-01 00:00:06 --- -1232   498  9169
00-01-01 00:00:06 --- -1291   145  9116
00-01-01 00:00:06 --- -1256  -333  9112
00-01-01 00:00:06 --- -1173  -658  9054
00-01-01 00:00:06 --- -1031  -667  8867
00-01-01 00:00:06 ---  -824  -390  8441
00-01-01 00:00:06 ---  -537   -21  7827
00-01-01 00:00:06 ---  -213   148  7252
00-01-01 00:00:06 ---    66   -38  6947
00-01-01 00:00:06 ---   185  -558  6989
00-01-01 00:00:06 ---   127 -1166  7336
00-01-01 00:00:06 ---   -83 -1517  7722
00-01-01 00:00:06 ---  -377 -1380  8056
00-01-01 00:00:06 ---  -663  -775  8335
00-01-01 00:00:06 ---  -876    73  8629
00-01-01 00:00:06 ---  -976   740  9017
00-01-01 00:00:06 ---  -998   923  9399
00-01-01 00:00:06 --- -1037   580  9564
00-01-01 00:00:06 --- -1081  -123  9453
00-01-01 00:00:06 --- -1075  -829  9058
00-01-01 00:00:06 ---  -984 -1170  8605
00-01-01 00:00:06 ---  -751 -1042  8198
00-01-01 00:00:06 ---  -445  -533  7874
00-01-01 00:00:06 ---   -95    31  7585
00-01-01 00:00:06 ---   226   254  7337
00-01-01 00:00:06 ---   516    30  7143
00-01-01 00:00:06 ---   580  -531  7129
00-01-01 00:00:06 ---   393 -1079  7354
00-01-01 00:00:06 ---   -25 -1320  7946
00-01-01 00:00:06 ---  -585 -1063  8605
00-01-01 00:00:06 ---  -994  -435  8754
00-01-01 00:00:06 --- -1258   211  9243
00-01-01 00:00:07 --- one package
00-01-01 00:00:07 ---  -387   246  8300
00-01-01 00:00:07 ---  -371   694  8275
00-01-01 00:00:07 ---  -391   599  8586
00-01-01 00:00:07 ---  -541    66  8887
00-01-01 00:00:07 ---  -755  -610  8992
00-01-01 00:00:07 ---  -937 -1090  8879
00-01-01 00:00:07 --- -1026 -1102  8660
00-01-01 00:00:07 ---  -924  -714  8384
00-01-01 00:00:07 ---  -749  -131  8174
00-01-01 00:00:07 ---  -499   328  8031
00-01-01 00:00:07 ---  -253   329  7943
00-01-01 00:00:07 ---   -28   -54  7887
00-01-01 00:00:07 ---    94  -652  7818
00-01-01 00:00:07 ---    45 -1088  7800
00-01-01 00:00:07 ---  -150 -1139  7881
00-01-01 00:00:07 ---  -461  -798  8076
00-01-01 00:00:07 ---  -671  -221  8351
00-01-01 00:00:07 ---  -793   438  8701
00-01-01 00:00:07 ---  -894    64  8974
00-01-01 00:00:07 ---  -898  -367  9069
00-01-01 00:00:07 --- -1003  -543  8939
00-01-01 00:00:07 --- -1076  -564  8649
00-01-01 00:00:07 --- -1077  -391  8358
00-01-01 00:00:07 ---  -753  -139  8123
00-01-01 00:00:07 ---  -466   -65  7955
00-01-01 00:00:07 ---  -101  -269  7792
00-01-01 00:00:07 ---   105  -597  7640
00-01-01 00:00:07 ---    28  -883  7576
00-01-01 00:00:07 ---  -168  -924  7679
00-01-01 00:00:07 ---  -342  -635  7907
00-01-01 00:00:07 ---  -448  -162  8265
00-01-01 00:00:07 ---  -540   324  8550
00-01-01 00:00:07 ---  -627   512  8689
00-01-01 00:00:07 ---  -772   311  8733
00-01-01 00:00:07 ---  -927  -158  8666
00-01-01 00:00:07 --- -1054  -681  8735
00-01-01 00:00:07 --- -1156  -904  8807
00-01-01 00:00:07 --- -1163  -704  8854
00-01-01 00:00:07 --- -1024  -234  8673
00-01-01 00:00:07 ---  -778   276  8246
00-01-01 00:00:07 ---  -457   474  7813
00-01-01 00:00:07 ---  -196   215  7530
00-01-01 00:00:07 ---  -103  -390  7549
00-01-01 00:00:07 ---  -164 -1078  7796
00-01-01 00:00:07 ---  -323 -1462  8041
00-01-01 00:00:07 ---  -511 -1322  8177
00-01-01 00:00:07 ---  -610  -743  8207
00-01-01 00:00:07 ---  -605    42  8285
00-01-01 00:00:07 ---  -520   615  8470
00-01-01 00:00:07 ---  -431   686  8759
00-01-01 00:00:07 ---  -451   254  9005
00-01-01 00:00:07 ---  -613  -466  9013
00-01-01 00:00:07 ---  -801 -1118  8785
00-01-01 00:00:07 ---  -914 -1352  8476
00-01-01 00:00:07 ---  -857 -1085  8149
