00-01-01 00:00:02 --- one package
00-01-01 00:00:04 ---  -476   -45  8266
00-01-01 00:00:04 ---  -471   -50  8270
00-01-01 00:00:04 ---  -467   -53  8267
00-01-01 00:00:04 ---  -463   -55  8262
00-01-01 00:00:04 ---  -466   -54  8253
00-01-01 00:00:04 ---  -475   -53  8249
00-01-01 00:00:04 ---  -485   -52  8246
00-01-01 00:00:04 ---  -496   -55  8256
00-01-01 00:00:04 ---  -508   -57  8259
00-01-01 00:00:04 ---  -516   -62  8271
00-01-01 00:00:04 ---  -520   -65  8270
00-01-01 00:00:04 ---  -517   -69  8272
00-01-01 00:00:04 ---  -509   -75  8270
00-01-01 00:00:04 ---  -495   -79  8269
00-01-01 00:00:04 ---  -486   -91  8278
00-01-01 00:00:04 ---  -475   -99  8281
00-01-01 00:00:04 ---  -472  -113  8294
00-01-01 00:00:04 ---  -475  -123  8292
00-01-01 00:00:04 ---  -479  -132  8289
00-01-01 00:00:04 ---  -484  -140  8283
00-01-01 00:00:04 ---  -491  -144  8276
00-01-01 00:00:04 ---  -489  -145  8271
00-01-01 00:00:04 ---  -491  -146  8285
00-01-01 00:00:04 ---  -488  -142  8300
00-01-01 00:00:04 ---  -494  -141  8318
00-01-01 00:00:04 ---  -497  -134  8328
00-01-01 00:00:05 ---  -507  -135  8330
00-01-01 00:00:05 ---  -516  -132  8321
00-01-01 00:00:05 ---  -522  -131  8314
00-01-01 00:00:05 ---  -539  -133  8303
00-01-01 00:00:05 ---  -550  -130  8299
00-01-01 00:00:05 ---  -556  -136  8293
00-01-01 00:00:05 ---  -561  -138  8293
00-01-01 00:00:05 ---  -559  -143  8305
00-01-01 00:00:05 ---  -559  -144  8310
00-01-01 00:00:05 ---  -557  -143  8321
00-01-01 00:00:05 ---  -555  -141  8327
00-01-01 00:00:05 ---  -548  -141  8320
00-01-01 00:00:05 ---  -549  -141  8290
00-01-01 00:00:05 ---  -553  -131  8272
00-01-01 00:00:05 ---  -557  -124  8263
00-01-01 00:00:05 ---  -565  -113  8263
00-01-01 00:00:05 ---  -574  -113  8273
00-01-01 00:00:05 ---  -588  -118  8267
00-01-01 00:00:05 ---  -599  -132  8269
00-01-01 00:00:05 ---  -607  -136  8268
00-01-01 00:00:05 ---  -599  -133  8278
00-01-01 00:00:05 ---  -577  -131  8289
00-01-01 00:00:05 ---  -551  -136  8300
00-01-01 00:00:05 ---  -548  -136  8275
00-01-01 00:00:05 ---  -568  -141  8230
00-01-01 00:00:05 ---  -578  -145  8206
00-01-01 00:00:05 ---  -579  -150  8197
00-01-01 00:00:05 ---  -570  -158  8230
00-01-01 00:00:05 ---  -564  -165  8266
00-01-01 00:00:05 ---  -558  -173  8286
00-01-01 00:00:05 ---  -562  -179  8282
00-01-01 00:00:05 ---  -543  -178  8276
00-01-01 00:00:05 ---  -550  -173  8296
00-01-01 00:00:05 ---  -548  -177  8316
00-01-01 00:00:05 ---  -552  -176  8298
00-01-01 00:00:05 ---  -582  -181  8280
00-01-01 00:00:05 ---  -604  -185  8248
00-01-01 00:00:05 ---  -616  -181  8251
00-01-01 00:00:05 ---  -623  -180  8277
00-01-01 00:00:05 ---  -617  -180  8310
00-01-01 00:00:05 ---  -586  -183  8312
00-01-01 00:00:05 ---  -566  -180  8319
00-01-01 00:00:05 ---  -567  -196  8341
00-01-01 00:00:05 ---  -569  -190  8314
00-01-01 00:00:05 ---  -594  -198  8296
00-01-01 00:00:05 ---  -613  -195  8266
00-01-01 00:00:05 ---  -599  -181  8243
00-01-01 00:00:05 ---  -573  -174  8238
00-01-01 00:00:05 ---  -511  -155  8232
00-01-01 00:00:05 ---  -478  -149  8223
00-01-01 00:00:05 ---  -459  -145  8284
00-01-01 00:00:05 ---  -464  -149  8378
00-01-01 00:00:05 ---  -492  -167  8462
00-01-01 00:00:05 ---  -503  -176  8481
00-01-01 00:00:05 ---  -518  -177  8439
00-01-01 00:00:05 ---  -541  -175  8353
00-01-01 00:00:05 ---  -563  -168  8309
00-01-01 00:00:05 ---  -618  -176  8305
00-01-01 00:00:05 ---  -649  -170  8242
00-01-01 00:00:05 ---  -700  -180  8221
00-01-01 00:00:05 ---  -770  -204  8098
00-01-01 00:00:05 ---  -893  -290  8026
00-01-01 00:00:05 --- -1074  -452  7968
00-01-01 00:00:05 --- -1284  -661  7987
00-01-01 00:00:05 --- -1439  -855  8101
00-01-01 00:00:05 --- -1483  -959  8234
00-01-01 00:00:05 --- -1406  -930  8384
00-01-01 00:00:05 --- -1266  -801  8508
00-01-01 00:00:05 --- -1124  -623  8533
00-01-01 00:00:05 --- -1054  -472  8497
00-01-01 00:00:05 --- -1057  -394  8381
00-01-01 00:00:05 --- -1128  -385  8258
00-01-01 00:00:05 --- -1222  -427  8187
00-01-01 00:00:05 --- -1307  -481  8193
00-01-01 00:00:05 --- -1343  -522  8226
00-01-01 00:00:05 --- -1339  -527  8300
00-01-01 00:00:05 --- -1283  -491  8371
00-01-01 00:00:05 --- -1206  -409  8466
00-01-01 00:00:05 --- -1101  -293  8552
00-01-01 00:00:05 ---  -980  -162  8639
00-01-01 00:00:05 ---  -837   -19  8706
00-01-01 00:00:05 ---  -668    97  8754
00-01-01 00:00:05 ---  -478   208  8786
00-01-01 00:00:05 ---  -276   308  8823
00-01-01 00:00:05 ---   -81   415  8839
00-01-01 00:00:05 ---   149   534  8883
