00-01-01 00:00:02 --- one package
00-01-01 00:00:05 ---  1699   480  9465
00-01-01 00:00:05 ---  1734   476  9715
00-01-01 00:00:05 ---  1722   484 10000
00-01-01 00:00:05 ---  1663   490 10295
00-01-01 00:00:05 ---  1558   495 10564
00-01-01 00:00:05 ---  1408   478 10793
00-01-01 00:00:05 ---  1236   444 10972
00-01-01 00:00:05 ---  1045   384 11103
00-01-01 00:00:05 ---   853   297 11179
00-01-01 00:00:05 ---   666   188 11204
00-01-01 00:00:05 ---   490    71 11190
00-01-01 00:00:05 ---   322   -50 11135
00-01-01 00:00:05 ---   165  -162 11068
00-01-01 00:00:05 ---    24  -260 10979
00-01-01 00:00:05 ---  -113  -341 10906
00-01-01 00:00:05 ---  -223  -400 10815
00-01-01 00:00:05 ---  -320  -427 10732
00-01-01 00:00:05 ---  -399  -425 10666
00-01-01 00:00:05 ---  -462  -391 10602
00-01-01 00:00:05 ---  -521  -328 10563
00-01-01 00:00:05 ---  -569  -246 10545
00-01-01 00:00:05 ---  -610  -146 10522
00-01-01 00:00:05 ---  -636   -36 10504
00-01-01 00:00:05 ---  -652    69 10476
00-01-01 00:00:05 ---  -663   171 10436
00-01-01 00:00:05 ---  -660   251 10394
00-01-01 00:00:05 ---  -662   315 10342
00-01-01 00:00:05 ---  -656   340 10291
00-01-01 00:00:05 ---  -648   329 10231
00-01-01 00:00:05 ---  -637   284 10152
00-01-01 00:00:05 ---  -626   218 10061
00-01-01 00:00:05 ---  -636   150  9949
00-01-01 00:00:05 ---  -611    82  9845
00-01-01 00:00:05 ---  -582    34  9705
00-01-01 00:00:05 ---  -520    -4  9603
00-01-01 00:00:05 ---  -494   -10  9463
00-01-01 00:00:05 ---  -490    18  9362
00-01-01 00:00:05 ---  -536    66  9222
00-01-01 00:00:05 ---  -583   152  9126
00-01-01 00:00:05 ---  -626   251  8999
00-01-01 00:00:05 ---  -646   373  8891
00-01-01 00:00:05 ---  -679   504  8531
00-01-01 00:00:05 ---  -707   631  8673
00-01-01 00:00:05 ---  -740   751  8459
00-01-01 00:00:05 ---  -773   860  8350
00-01-01 00:00:05 ---  -800   961  8239
00-01-01 00:00:05 ---  -816  1053  8126
00-01-01 00:00:05 ---  -830  1142  8017
00-01-01 00:00:05 ---  -840  1484  7919
00-01-01 00:00:05 ---  -859  1377  7832
00-01-01 00:00:05 ---  -876  1435  7757
00-01-01 00:00:05 ---  -892  1481  7676
00-01-01 00:00:05 ---  -893  1513  7614
00-01-01 00:00:05 ---  -891  1543  7534
00-01-01 00:00:05 ---  -899  1561  7483
00-01-01 00:00:05 ---  -958  1577  7422
00-01-01 00:00:05 --- -1010  1589  7378
00-01-01 00:00:05 --- -1072  1596  7337
00-01-01 00:00:05 --- -1140  1599  7293
00-01-01 00:00:05 --- -1214  1594  7249
00-01-01 00:00:05 --- -1286  1587  7209
00-01-01 00:00:05 --- -1358  1589  7167
00-01-01 00:00:05 --- -1422  1594  7136
00-01-01 00:00:05 --- -1480  1624  7107
00-01-01 00:00:05 --- -1530  1665  7086
00-01-01 00:00:05 --- -1556  1727  7078
00-01-01 00:00:05 --- -1573  1789  7068
00-01-01 00:00:05 --- -1568  1856  7081
00-01-01 00:00:05 --- -1553  1911  7076
